Country Name,Country Code,Year,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Energy use (kg of oil equivalent per capita),GDP growth (annual %),"GDP per capita, PPP (constant 2021 international $)",Gini index,Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Population, total",Renewable energy consumption (% of total final energy consumption),"School enrollment, secondary (% gross)",Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
Comoros,COM,2022,0.515231578493098,,2.60301031927843,3399.27830776976,,32.7685,12.5320314570999,66.481,36.8,834188.0,39.3,,50.3887704814699,,32.7746035528748
"Congo, Dem. Rep.",COD,2022,0.0610125487309351,390.899911233015,9.31116944064918,1484.33841881449,,29.4996,,60.979,45.8,102396968.0,,,85.8221691879958,,44.003287663813
"Congo, Rep.",COG,2022,1.38493056623382,627.585966198745,1.47535613247133,6205.1050414034,,37.4939,3.04344334698478,65.0,28.5,6035104.0,,,98.1613366922001,,63.6422003342807
Costa Rica,CRI,2022,1.61315999460817,1009.21522950084,4.55149177958398,24831.7193480342,47.2,82.598,8.27477490232654,79.316,8.8,5081765.0,,131.907592773438,82.2275325353143,11.325,78.4405687613972
Cote d'Ivoire,CIV,2022,0.605701555801839,471.775424802239,6.39988362720531,6272.26395759415,,38.4133,5.23352856100843,61.562,47.9,30395002.0,,54.0714108290486,52.8663910413483,2.31,52.8492549676673
Croatia,HRV,2022,4.57371420212618,2154.95483266747,7.29445343642668,37930.5840730103,30.0,82.0716,10.7805806758686,77.5756097560976,3.9,3855641.0,,105.577796936035,125.410877974694,6.811,56.9977571733605
Cuba,CUB,2022,1.78698206661591,815.615862798832,1.77465227724316,,,68.25,,77.629,6.3,11059820.0,,103.627148989561,93.8607755890525,,77.1056060791016
Curacao,CUW,2022,,5649.73104335971,6.90599999999999,26734.6457811916,,,,76.729,,153321.0,,,,,91.4007684350799
Cyprus,CYP,2022,5.425313774533,1682.70492545045,8.27372597293814,48168.50390625,31.5,89.601,8.39548297993334,80.434,2.8,1331370.0,,104.005722045898,205.753543745524,6.806,66.6694829407584
Czechia,CZE,2022,9.15364691432385,3895.62928915395,2.8471706583814,48390.661678675,25.9,84.5401,15.1001651468371,78.9292682926829,2.2,10672118.0,,102.935562133789,144.011494109397,2.224,72.6967638379524
Denmark,DNK,2022,4.8270407249692,2580.54319180783,0.443832614908331,69475.3198650883,29.3,97.8601,7.6965669988926,81.3048780487805,3.1,5903037.0,,130.326995849609,131.995824909071,4.434,88.3880239837703
Djibouti,DJI,2022,0.762292717589368,,5.16653702854374,6180.67998594606,,63.2573,5.17980847967061,65.54,45.9,1137096.0,26.9,,302.285409231545,,72.6109938538856
Dominica,DMA,2022,1.21509592074941,,10.3968076616121,17550.8009946466,,83.3101,2.88490226829353,71.081,32.7,66826.0,8.9,105.387588500977,,,72.682648635692
Dominican Republic,DOM,2022,2.85936787390744,950.470105292014,5.23795652902595,22986.95808105,37.0,81.5127,8.81109209279587,74.211,29.1,11230734.0,,76.5283197247412,54.3781976712844,5.504,72.4203155643711
